names        SAM_wt_rep2 SAM_wt_rep1 SAM_sdE3_rep2 SAM_sdE3_rep1 ORE_wt_rep2 ORE_wt_rep1 ORE_sdE3_rep2 ORE_sdE3_rep1 HYB_wt_rep2 HYB_wt_rep1 HYB_sdE3_rep2 HYB_sdE3_rep1
c0_g2_i1	2	5	3	3	7	2	3	15	32	13	13	5
c1000_g1_i1	30	39	37	41	60	24	59	56	77	28	30	15
c1001_g1_i1	0	34	12	10	18	31	9	30	17	10	18	23
c1002_g1_i1	5	13	27	14	46	13	27	22	29	21	19	9
c1002_g1_i2	0	22	7	7	8	13	13	23	6	7	9	9
c1002_g1_i3	0	4	4	4	6	20	8	12	8	4	7	15
c1002_g2_i1	12	9	19	20	9	21	12	27	28	34	24	15
c1003_g1_i1	2	13	4	0	10	6	8	4	17	4	3	0
c1004_g1_i1	10	7	12	14	7	8	15	10	23	5	17	2
c1004_g1_i2	53	105	99	74	106	113	107	131	149	75	79	66
c1005_g1_i1	87	137	154	95	127	179	123	216	186	143	137	152
c1005_g1_i2	85	111	142	96	122	172	115	185	149	119	111	111
c1006_g1_i1	105	153	180	104	130	205	114	188	160	131	123	133
c1006_g1_i2	13	18	22	20	38	22	24	48	30	14	28	27
c1007_g1_i1	3	17	12	8	21	19	13	24	16	5	5	10
c1009_g1_i1	455	907	802	579	887	882	793	993	1177	659	543	518
c100_g1_i1	2	27	4	14	22	9	29	17	17	2	9	7
c1010_g1_i1	6	31	40	19	93	74	104	180	38	12	18	15
c1011_g1_i1	128	266	246	238	292	200	263	353	347	202	192	176
c1013_g1_i1	540	931	898	725	1010	1216	894	1539	1082	805	699	665
c1014_g1_i1	0	26	23	5	4	4	4	9	9	9	0	9
c1015_g1_i1	279	857	555	812	837	859	734	994	970	723	597	692
c1015_g1_i2	42	89	99	66	79	52	87	88	122	69	79	51
c1015_g1_i3	386	584	586	485	629	526	431	699	694	455	404	473
c1015_g1_i4	262	434	462	462	480	421	367	658	595	476	315	388
c1016_g1_i1	50	105	99	74	91	74	63	116	129	69	89	77
c1016_g2_i1	9	20	13	26	16	3	27	5	42	10	10	6
c1017_g1_i1	2	0	2	2	0	1	2	0	0	0	0	0
c1018_g1_i1	60	171	133	107	156	125	170	178	194	102	154	95
c1019_g1_i1	86	133	133	104	130	136	112	187	175	125	93	96
c101_g1_i1	67	49	51	53	69	102	54	122	27	36	23	28
c1020_g1_i2	213	351	377	250	159	319	378	665	252	170	213	191
c1021_g1_i1	3	6	3	1	4	3	2	5	6	3	1	1
c1022_g1_i1	2	7	0	2	7	4	2	14	2	0	4	0
c1023_g1_i1	456	866	811	620	682	686	617	1060	984	749	606	605
c1024_g1_i2	101	240	273	215	216	215	198	272	333	208	219	212
c1025_g1_i1	135	228	229	149	230	258	202	275	270	180	190	192
c1025_g1_i2	191	355	330	274	315	264	314	435	478	324	268	251
c1026_g1_i1	145	297	254	233	271	241	252	366	385	254	235	223
c1026_g1_i2	0	2	4	0	1	4	0	0	2	4	3	5
c1026_g2_i1	0	0	0	0	2	0	2	0	12	7	0	6
c1027_g1_i1	0	3	0	0	6	0	3	3	6	0	0	0
c1027_g1_i2	54	108	83	80	114	98	92	139	102	73	78	75
c1028_g1_i1	37	89	58	58	99	90	93	111	105	73	63	49
c1028_g1_i2	1519	1958	2167	1675	2266	2380	1563	2384	2488	2382	1356	1719
c1028_g1_i3	20	36	37	26	47	20	41	38	62	29	22	48
c1028_g1_i4	661	805	964	675	995	889	650	1229	1145	860	585	773
c1029_g1_i1	163	349	298	222	232	370	304	420	487	372	173	279
c102_g1_i1	11	41	25	26	33	31	38	45	41	35	27	37
c1030_g1_i1	0	4	0	4	3	0	4	11	4	4	0	3
c1031_g1_i1	11	23	19	30	41	38	37	39	30	19	34	17
c1032_g1_i1	91	277	165	210	153	150	192	255	406	236	275	210
c1032_g1_i2	126	209	227	160	193	213	204	282	310	209	192	145
c1032_g1_i3	115	227	217	190	207	214	212	286	282	183	156	185
c1033_g1_i1	121	245	215	171	198	230	198	317	324	215	197	163
c1034_g1_i1	5	3	6	7	15	0	12	3	24	3	36	3
c1035_g1_i1	558	1037	1051	825	1134	983	1057	1290	1245	687	863	737
c1036_g1_i1	157	284	229	245	244	225	222	300	376	215	195	167
c1037_g1_i1	119	244	197	249	261	242	226	408	304	248	216	234
c1038_g1_i2	292	668	465	415	608	524	547	722	725	517	532	378
c1038_g1_i3	13	35	31	28	26	32	28	54	47	28	28	28
c1039_g1_i1	16	36	28	37	38	18	32	52	49	27	22	17
c103_g1_i1	0	1	2	1	5	4	6	4	12	0	1	3
c1040_g1_i1	0	0	0	5	2	5	10	5	0	3	2	5
c1040_g1_i2	70	138	112	97	80	135	90	177	138	103	72	114
c1040_g1_i3	86	129	146	111	98	152	81	192	184	178	83	133
c1040_g1_i4	231	288	355	270	315	380	241	431	423	418	225	335
c1041_g1_i1	62	88	99	57	86	91	58	129	128	99	59	101
c1042_g1_i1	14	9	12	6	16	7	15	9	21	5	13	9
c1043_g1_i1	13	9	6	5	11	3	12	5	18	5	6	9
c1043_g1_i2	224	359	343	319	441	392	306	486	554	338	267	298
c1044_g1_i1	348	632	596	485	665	615	542	785	858	564	433	482
c1045_g1_i1	978	2129	1797	1679	2006	1718	1830	2464	2345	1486	1401	1080
c1045_g1_i2	293	286	200	263	419	264	269	356	320	161	280	171
c1046_g1_i1	399	473	389	452	646	410	368	533	633	277	493	289
c1047_g1_i1	6	4	0	10	0	0	5	17	4	0	11	4
c1048_g1_i1	79	144	109	87	130	55	128	84	279	133	196	110
c1049_g1_i1	161	288	805	609	4	0	0	0	707	548	1457	1823
c1049_g1_i2	106	286	164	252	327	287	302	394	406	242	285	273
c104_g1_i1	61	179	135	152	207	167	192	247	264	172	173	162
c1050_g1_i1	4	4	0	0	0	3	7	7	4	0	3	7
c1051_g1_i1	992	2045	1587	1483	1972	1583	1420	2507	1977	1288	1286	1358
c1052_g1_i1	5	30	15	21	33	25	32	45	64	21	26	28
c1053_g1_i1	4	19	23	13	4	30	13	21	19	21	16	16
c1053_g1_i2	3786	5548	5056	4260	6033	5020	4610	8039	6733	5193	4561	5162
c1054_g1_i1	254	550	508	509	647	658	504	1045	732	646	455	623
c1055_g1_i1	352	626	716	491	503	532	447	715	922	766	463	653
c1055_g1_i2	93	165	163	125	177	157	163	248	223	135	125	115
c1055_g1_i3	92	188	135	111	155	120	129	215	236	124	110	99
c1056_g1_i1	108	211	174	151	216	145	148	262	255	142	151	118
c1057_g1_i1	14	30	21	19	19	45	24	20	23	13	13	5
c1058_g1_i1	4	17	11	19	7	16	9	26	14	10	15	5
c1058_g1_i2	1057	1442	1495	1080	1444	1664	1061	1781	1761	1493	1333	1513
c1059_g1_i1	1047	1309	1534	1100	1518	1623	1064	1711	1777	1451	1212	1546
c105_g1_i1	110	131	139	99	129	114	79	105	175	123	156	108
c1060_g1_i1	0	19	13	0	4	18	18	18	12	8	0	0
c1061_g1_i1	94	126	127	120	134	116	115	195	159	116	84	100
c1062_g1_i1	306	760	583	567	693	836	639	967	957	640	687	550
c1062_g2_i1	2986	5176	4654	3162	4287	4715	4076	5923	5504	3481	3643	3471
c1063_g1_i1	17	29	18	22	47	33	27	57	0	0	0	0
c1063_g1_i2	83	144	108	92	159	126	120	193	183	107	98	100
c1063_g1_i3	62	123	97	87	122	88	106	129	147	99	79	91
c1063_g1_i4	42	102	113	65	95	108	98	137	158	77	70	68
c1064_g1_i1	51	111	107	85	134	89	90	153	144	104	100	72
